index,AC,Cha,Con,Dex,HP,Int,Str,Type,Wis,alignment,chall,condImmunity,damImmunity,damVuln,languages,name,damResist,senses,size,speed
25,20.0,1 (-5),18 (+4),14 (+2),84.0,1 (-5),19 (+4),construct,3 (-4),"construct, unaligned",5.0,"blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned","poison, psychic",,—,Clockwork Tarrasque,,"blindsight 60 ft., ",Huge,30 ft.
26,14.0,3 (-4),15 (+2),10 (+0),45.0,7 (-2),14 (+2),construct,10 (+0),"construct, unaligned",2.0,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned","poison, psychic; bludgeoning, piercing and slashing damage from nonmagical attacks that aren't adamantine",lightning,understands the languages of its creator but can't speak,Clockwork Pyrobomb,,"darkvision 60 ft., ",Medium,"30 ft., burrow 15 ft."
27,18.0,5 (-3),16 (+3),16 (+3),48.0,3 (-4),18 (+4),construct,5 (-3),"construct, unaligned",1.0,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned","Poison, Psychic",,"Understands the language of its creator but cannot speak, unless specified otherwise",Clockwork Humanoid,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Adamantine","darkvision 60ft., ",medium,30ft
28,13.0,14 (+2),12 (+1),13 (+1),22.0,10 (+0),14 (+2),fey,13 (+1),non-chaotic alignment,1.0,,,,"Common, Sylvan",Cu Sidhe,,,Medium,30 ft.
29,13.0,4 (-3),12 (+1),5 (-3),22.0,9 (-1),8 (-1),plant,11 (+0),lawful neutral,2.0,frightened,,fire,understands Common and Sylvan but can't speak,Crystalk,poison,"darkvision 60 ft., tremorsense 20 ft., ",Medium,"5 ft., burrow 5 ft., climb 5 ft."
30,8.0,8 (-1),14 (+2),6 (-2),78.0,1 (-5),13 (+1),ooze,10 (+0),"ooze, unaligned",1.0,"charmed, exhaustion, frightened, prone","bludgeoning, slashing, and piercing from nonmagical attacks",,—,Dark Chuchu,"acid; bludgeoning, slashing, and piercing from magical attacks","darkvision 60 ft., tremorsense 10 ft., ",Medium,20 ft.
31,19.0,6 (-2),26 (+8),18 (+4),290.0,6 (-2),27 (+8),fiend,6 (-2),"fiend, unaligned",17.0,"poisoned, paralyzed, stunned, frightened",poison; necrotic,radiant; any damage from artifact weapons,"understands the languages it knew before transforming, but can't speak",Dark Beast Ganon,"fire; lightning; cold, bludgeoning, slashing, piercing, psychic, thunder","darkvision 60 ft., ",Huge,90 ft.
33,14.0,8 (-1),16 (+3),9 (-1),110.0,10 (+0),14 (+2),monstrosity,9 (-1),chaotic evil,3.0,"Frightened, Charmed",Necrotic,,"Undercommon, but doesn't speak it most of the time",Dalgyreth the Unholy,Fire,,Huge,20 ft.
35,16.0,18 (+4),20 (+5),5 (-3),108.0,9 (-1),18 (+4),beast,16 (+3),"(ceratopsian), unaligned",6.0,"charmed, paralyzed, stunned",,,—,Diabloceratops,"bludgeoning, piercing, slashing",,Large,45 ft.
36,17.0,7 (-2),18 (+4),8 (-1),126.0,3 (-4),15 (+2),plant,12 (+1),"plant, unaligned",6.0,"deafened, frightened",poison,,—,Diababa,acid,"darkvision 120 ft., tremorsense 60 ft. (deaf beyond this radius), ",Huge,20 ft.
37,15.0,14 (+2),24 (+7),14 (+2),202.0,12 (+1),24 (+7),giant,18 (+4),neutral evil,10.0,,,radiant,"Common, Giant",Dhuga Magi,,"darkvision 120 ft., ",Huge,40 ft.
38,14.0,8 (-1),13 (+1),16 (+3),52.0,7 (-2),18 (+4),fey,14 (+2),chaotic neutral,2.0,,,,—,Dire Rabbit,,,Large,"35 ft., burrow 25 ft."
39,13.0,17 (+3),16 (+3),13 (+1),102.0,7 (-2),18 (+4),monstrosity,12 (+1),chaotic evil,5.0,,,,Common,Dire Harpy,,,Large,"25 ft., fly 60 ft."
40,16.0,7 (-2),25 (+7),7 (-2),157.0,1 (-5),25 (+7),beast,9 (-1),"(sauropod), unaligned",10.0,,,,—,Diplodocus,thunder,,Gargantuan,30 ft.
41,,15 (+2),14 (+2),18 (+4),134.0,10 (+0),10 (+0),undead,20 (+5),lawful evil,20.0,,,,all,"Dio Brando, 2nd Variant",Necrotic,"darkvision 120 ft., ",Medium,55 ft.
42,14.0,5 (-3),22 (+6),12 (+1),126.0,12 (+1),18 (+4),undead,13 (+1),neutral evil,8.0,"charmed, blinded, poisoned,",poison,,Common,Dire Ghoul,"necrotic; bludgeoning, piercing and slashing from nonmagical attacks","darkvision 60 ft., ",Large,25 ft.
43,23.0,14 (+2),20 (+5),18 (+4),165.0,15 (+2),18 (+4),monstrosity,16 (+3),chaotic neutral,8.0,"charmed, poisoned",poison,,"common, elvish, undercommon",Drider,,"Darkvision 240ft, ",Large,"30ft, climb 30ft"
44,16.0,14 (+2),20 (+5),18 (+4),165.0,15 (+2),18 (+4),monstrosity,16 (+3),chaotic neutral,8.0,"charmed, poisoned",poison,,"common, elvish, undercommon, draconic",Drider Spawn,,"Darkvision 240ft, ",Large,"30ft, fly 30ft, climb 30ft"
45,16.0,14 (+2),20. (+5),18 (+4),165.0,15 (+2),18 (+4),monstrosity,16 (+3),chaotic neutral,8.0,"charmed, poisoned",poison,,"Common, Elvish, Undercommon, Draconic",Drider Spawn,,"Darkvision 240ft, ",Large,"30 ft., fly 30 ft., climb 30 ft"
47,13.0,8 (-1),14 (+2),16 (+3),55.0,6 (-2),9 (-1),monstrosity,15 (+2),"monstrosity, unaligned",4.0,,,,—,Dunesayer,,"tremorsense 30 ft., ",Small,"20 ft., burrow 40 ft."
48,16.0,9 (-1),19 (+4),10 (+0),105.0,7 (-2),22 (+6),monstrosity,12 (+1),chaotic evil,13.0,,,,—,Dune Titan,fire,"darkvision 120 ft., ",Huge,"40 ft., burrow 40 ft."
49,16.0,6 (-2),12 (+1),18 (+4),82.0,5 (-3),13 (+1),monstrosity,6 (-2),"monstrosity, unaligned",4.0,,,,—,Dun Rhashuul,fire,,Medium,"15 ft., 40 ft. flying"
50,20.0,11 (+0),26 (+8),22 (+6),246.0,7 (-2),30 (+10),dragon,18 (+4),chaotic neutral,17.0,"frightened, grappled, restrained",,,understands Draconic but can't speak,Duke Fishron,cold,"darkvision 60 ft., ",Huge,"20 ft., fly 60 ft., swim 60 ft."
51,17.0,17 (+3),10 (+0),23 (+6),71.0,21 (+5),6 (-2),humanoid,24 (+7),"humanoid, neutral",5.0,,,,"Common, Dwarvish, Elvish, Giant, Halfling, Gnomish, Goblin, Orc, Primordial",Enchantress,,,Medium,30 ft.
52,16.0,1 (-5),11 (+0),16 (+3),21.0,1 (-5),11 (+0),construct,5 (-3),"construct, unaligned",2.0,"blinded, charmed, deafened, frightened, paralyzed, petrified, poisoned","poison, psychic",,—,Enchanted Chain,piercing,"blindsight 60 ft. (blind beyond this radius), ",Small,"0 ft., fly 50 ft. (hover)"
54,14.0,6 (-2),18 (+4),13 (+1),76.0,6 (-2),15 (+2),beast,18 (+3),"(theropod), unaligned",3.0,,Poison,,—,Eustreptospondylus,"Slashing, Piercing, Bludgeoning",,Medium,35 ft.
55,17.0,21 (+5),15 (+2),25 (+7),136.0,12 (+1),14 (+2),dragon,16 (+3),neutral good,11.0,"charmed, frightened, poisoned",poison,thunder,"Celestial, Draconic, telepathy 60 ft.",Feathered Dragon,"radiant; bludgeoning, piercing, and slashing from nonmagical attacks","Senses. The dragon has advantage on Wisdom (Perception) checks that rely on sight, hearing, or smell.",Huge,"40 ft., climb 40 ft., fly 100 ft., swim 40 ft."
56,16.0,12 (+1),16 (+3),17 (+3),75.0,10 (+0),16 (+3),humanoid (lizalfos),11 (+0),neutral evil,3.0,,fire,cold,Lizal,Fire Lizalfos,,,Medium,"40 ft., climb 30 ft., swim 40 ft."
57,21.0,14 (+2),15 (+2),13 (+1),100.0,5 (-3),21 (+5),monstrosity,11 (+0),chaotic evil,11.0,,"fire; bludgeoning, piercing, and slashing from nonmagical attacks",cold,—,Fire Gohma,"bludgeoning, piercing, and slashing from magical attacks","darkvision 120 ft., ",Gargantuan,"50 ft., climb 50 ft."
58,13.0,16 (+3),10 (+0),16 (+3),14.0,6 (-2),6 (-2),elemental,10 (+0),neutral evil,1.0,,fire,cold,Ignan,Firebat,,,Small,"10 ft., fly 40 ft."
59,12.0,1 (-5),10 (+0),13 (+1),22.0,1 (-5),3 (-4),swarm,7 (-2),"beasts, unaligned",1.0,,fire,cold,—,Fireball Fly Swarm,"bludgeoning, piercing, slashing","blindsight 10 ft., ",Medium,"5 ft., fly 30 ft."
60,18.0,8 (-1),18 (+4),17 (+3),218.0,10 (+0),18 (+4),elemental,10 (+0),"elemental, neutral",9.0,"exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious","cold, fire, poison",,"Aquan, Auran, Ignan",Fire-Ice Elemental,,"darkvision 60 ft., ",Large,"40 ft., fly 40 ft."
61,13.0,6 (-2),14 (+2),14 (+2),52.0,5 (-3),16 (+3),fiend,13 (+1),chaotic evil,3.0,"frightened, poisoned","fire, poison",,understands Abyssal but can't speak,Flesh Hound of Khorne,"cold, lightning, psychic",Senses. The hound has advantage on Wisdom (Perception) checks that rely on hearing or smell.,Medium,50 ft.
62,17.0,1 (-5),16 (+3),15 (+2),75.0,1 (-5),20 (+5),construct,5 (-3),"construct, unaligned",2.0,"blinded, charmed, deafened, frightened, paralyzed, petrified, poisoned","poison, psychic",,—,Flying Shield,,"blindsight 60 ft. (blind beyond this radius), ",Medium,"0 ft., fly 60 ft. (hover)"
63,17.0,8 (-1),18 (+4),12 (+1),178.0,14 (+2),18 (+4),aberration,15 (+2),chaotic evil,10.0,"blinded, deafened, poisoned, prone",poison,lightning,"Deep Speech, Flying Polyp",Flying Polyp,thunder,"darkvision 60 ft., ",Large,"0 ft., fly 40 ft. (hover)"
64,15.0,1 (-5),10 (+0),15 (+2),27.0,1 (-5),11 (+0),swarm,5 (-3),"constructs, unaligned",1.0,"blinded, charmed, deafened, frightened, grappled, paralysed, petrified, poisoned, restrained, stunned","poison, psychic",,—,Flying Dagger Swarm,"bludgeoning, piercing, slashing","blindsight 60 ft. (blind beyond this radius), ",Medium,"0 ft., fly 40 ft."
65,16.0,5 (-3),12 (+1),14 (+2),91.0,9 (-1),11 (+0),monstrosity,12 (+1),any alignment,7.0,,,,Undercommon,Fragnetic,,,Large,20 ft.
66,15.0,5 (-3),17 (+3),16 (+3),30.0,6 (-2),12 (+1),undead,8 (-1),lawful evil,4.0,"exhaustion, poisoned",poison,bludgeoning,understands the languages it knew in life but can't speak,Four-Armed Skeleton,,"darkvision 60 ft., ",Medium,30 ft.
68,14.0,5 (-3),15 (+2),17 (+3),55.0,6 (-2),14 (+2),plant,14 (+2),"(fectoid), unaligned",3.0,,,,Fectoid,Foulmonella,poison,,Small,"10 ft., swim 30 ft."
69,15.0,15 (+2),20 (+5),16 (+3),168.0,15 (+2),22 (+6),humanoid,18 (+4),lawful evil,12.0,"charmed, frightened, poisoned","fire, poison",,"Infernal, Kilkorn, Undercommon",Foulblood Kilkorn,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","darkvision 60 ft., ",Large,"30 ft., fly 30 ft."
70,13.0,6 (-2),11 (+0),11 (+0),5.0,1 (-5),10 (+0),ooze,8 (-1),"ooze, unaligned",0.0,,,,—,Gel,"acid, bludgeoning","darkvision 60 ft., tremorsense 60 ft., ",Tiny,30 ft.
71,13.0,9 (-1),15 (+2),14 (+2),52.0,12 (+1),10 (+0),humanoid,13 (+1),neutral evil,1.0,,acid,,Lizal,Gekko,,"darkvision 60 ft., ",Medium,"30 ft., climb 20 ft., swim 30 ft."
72,16.0,5 (-3),17 (+3),11 (+0),102.0,1 (-5),19 (+4),plant,10 (+0),"plant, unaligned",10.0,"blinded, deafened",lightning,,—,Giant Flytrap,"acid, cold, fire","blindsight 60 ft. (blind beyond this radius), ",Large,15 ft.
73,17.0,3 (-4),24 (+7),11 (+0),297.0,5 (-3),26 (+8),construct,10 (+0),"construct, unaligned",18.0,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned","acid, poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks that aren't adamantine",,understands the languages of its creator but can't speak,Giant Clay War Golem,,"darkvision 60 ft., ",Huge,30 ft.
74,15.0,1 (-5),22 (+6),9 (-1),225.0,3 (-4),24 (+7),construct,8 (-1),"construct, unaligned",12.0,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned","acid, poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks that aren't adamantine",,understands the languages of its creator but can't speak,Giant Clay Golem,,"darkvision 60 ft., ",Huge,20 ft.
75,15.0,6 (-2),14 (+2),7 (-2),52.0,4 (-3),15 (+2),construct,5 (-3),lawful evil,1.0,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned","poison, psychic",,understands Stal but can't speak,Gimos,"cold, fire, lightning","darkvision 60 ft., tremorsense 5 ft., ",Medium,25 ft.
78,13.0,14 (+2),12 (+1),16 (+3),13.0,11 (+0),9 (-1),humanoid,10 (+0),chaotic evil,1.0,,,,"Common, Goblin",Gobbol,,"darkvision 60 ft., ",Small,30 ft.
79,17.0,14 (+2),20 (+5),12 (+1),189.0,6 (-2),22 (+6),monstrosity,14 (+2),chaotic evil,10.0,,cold,,Gnoph-Keh,Gnoph-Keh,,"darkvision 60 ft., ",Large,40 ft.
80,17.0,10 (+0),13 (+1),14 (+2),55.0,8 (-1),16 (+3),humanoid,11 (+0),chaotic evil,3.0,"charmed, frightened",,,Gnoll,Gnoll Soul Feaster,,"darkvision 60 ft., ",Medium,30 ft.
81,20.0,28 (+9),28 (+9),31 (+10),275.0,24 (+7),28 (+9),celestial,25 (+7),lawful good,24.0,"charmed, exhaustion, frightened, poisoned","necrotic, poison",,"all, telepathy 120 ft.",Gracious,"fire, radiant; bludgeoning, piercing and slashing damage from nonmagical attacks","truesight 120 ft., ",Large,50 ft.
82,18.0,18 (+4),18 (+4),19 (+4),209.0,14 (+2),18 (+4),celestial,15 (+2),lawful good,14.0,"charmed, exhaustion, frightened",,,"all, telepathy 120 ft.",Grace,"fire, radiant; bludgeoning, piercing and slashing damage from nonmagical attacks","truesight 120 ft., ",Large,50 ft.
83,17.0,7 (-2),16 (+3),10 (+0),52.0,7 (-2),16 (+3),humanoid,12 (+1),evil alignment,2.0,,,"acid, lightning",Common,Goto Kappa,"cold, fire, poison","darkvision 60 ft., ",Medium,"20 ft., burrow 10 ft., swim 30 ft."
84,14.0,7 (-2),16 (+3),14 (+2),76.0,2 (-4),21 (+5),monstrosity,12 (+1),"monstrosity, unaligned",6.0,"paralyzed, stunned","bludgeoning, piercing, and slashing damage from nonmagical weapons that aren't adamantine",,—,Great Moldorm,fire,"tremorsense 20 ft., darkvision 60 ft., ",Huge,"40 ft., burrow 20 ft."
85,18.0,8 (-1),20 (+5),10 (+0),218.0,3 (-4),18 (+4),plant,16 (+3),"plant, unaligned",16.0,"blinded, deafened, paralyzed, petrified, poisoned",poison,fire,—,Great Malboro,"acid, cold, lightning; piercing",blindsight 120 ft. (blind beyond this radius); ,Huge,"20 ft., climb 10 ft."
86,14.0,9 (-1),13 (+1),19 (+4),52.0,4 (-3),14 (+2),dragon,13 (+1),"dragon, unaligned",3.0,,,,—,Great Macco,,"darkvision 60 ft., ",Large,35 ft.
87,23.0,10 (+0),23 (+6),6 (-2),396.0,5 (-3),24 (+7),dragon,14 (+2),chaotic evil,24.0,,,thunder,—,Great King Dodongo,fire,"darkvision 120 ft., tremorsense 10 ft., ",Gargantuan,"50 ft., burrow 10 ft."
88,,8 (-1),17 (+3),18 (+4),127.0,3 (-4),20 (+5),beast,15 (+2),"beast, unaligned",4.0,,,,—,Great Jaggi,,,Large,70
89,24.0,20 (+5),30 (+10),14 (+2),451.0,12 (+1),30 (+10),monstrosity,15 (+2),neutral evil,24.0,,,,"Celestial, Common, Primordial",Grootslang,,"blindsight 60 ft., darkvision 120 ft., Perception 26",Gargantuan,"40 ft., climb 40 ft., swim 100 ft."
91,24.0,10 (+0),27 (+8),8 (-1),270.0,6 (-2),25 (+7),dragon,20 (+5),"dragon, unaligned",16.0,,,,"understands Common and Draconic, but cannot speak",Gronckle,,"darkvision 60 ft., ",Large,"40 ft., burrow 15 ft., fly 30 ft."
92,13.0,2 (-4),13 (+1),4 (-3),27.0,6 (-2),9 (-1),monstrosity,3 (-4),"monstrosity, unaligned",1.0,"charmed, frightened",psychic,poison,"Wormbrain, Common",Common Gasper,,"blindsight 30 ft. (blind beyond this radius), ",Small,"10 ft., climb 10 ft."
93,23.0,24 (+7),26 (+8),14 (+2),189.0,10 (+0),24 (+7),celestial,20 (+5),lawful good,23.0,"charmed, exhaustion, frightened, paralyzed","bludgeoning, piercing, and slashing from nonmagical attacks",,"understands Celestial, Common, Dwarvish, Giant, and Sylvan but can't speak",Gullinbursti,radiant,"truesight 60 ft., ",Large,50 ft.
94,15.0,9 (-1),19 (+4),12 (+1),138.0,6 (-2),22 (+6),giant,12 (+1),neutral evil,8.0,,,,Gug,Gug,,"darkvision 120 ft., ",Huge,"30 ft., climb 20 ft."
95,,Termina,Necluda,Lanaryu,,The Forsaken,Hebra,of,Southern Hyrule,of Hyrule,,,,,,Guardian Stalker,,,World,
96,14.0,8 (-1),16 (+3),13 (+1),114.0,6 (-2),20 (+5),beast,14 (+2),"(pterosaur), unaligned",3.0,,,,—,Hatzegopteryx,,,Huge,"20 ft., fly 70 ft."
99,,10 (+0),25 (+7),14 (+2),192.0,6 (-2),24 (+7),"monstrosity,humanoid",12 (+1),"monstrosity,humanoid, unaligned",20.0,"Charmed, Frightened, Paralyzed, Poisoned","Poison; Bludgeoning, Piercing, and Slashing From Nonmagical Attacks",cold,—,Humanoid Tarrasque,"lighting,fire","Blindsight 120 Ft., ",huge,45ft
100,20.0,13 (+1),16 (+3),11 (+0),75.0,13 (+1),16 (+3),humanoid,19 (+4),lawful evil,5.0,,,,"Common, Goblin",Hobgoblin War Priest,,"darkvision 60 ft., ",Medium,30 ft.
101,13.0,11 (+0),14 (+2),12 (+1),45.0,16 (+3),13 (+1),humanoid,14 (+2),lawful evil,2.0,blinded,,,"Common, Goblin",Hobgoblin Seer,,"blindsight 30 ft. (blind beyond this radius), ",Medium,30 ft.
102,17.0,11 (+0),15 (+2),14 (+2),79.0,14 (+2),16 (+3),humanoid,16 (+3),lawful evil,5.0,,,,"Common, Goblin",Hobgoblin Priest,,"darkvision 60 ft., ",Medium,30 ft.
103,,18 (+4),20 (+5),16 (+3),218.0,17 (+3),22 (+6),humanoid,16 (+3),lawful evil,14.0,"charmed, frightened",,,"Common, Goblin",Hobgoblin Monarch,,"darkvision 60 ft., ",Medium,30 ft.
104,18.0,16 (+3),15 (+2),14 (+2),130.0,14 (+2),16 (+3),humanoid,20 (+5),lawful evil,10.0,,,,"Common, Goblin",Hobgoblin High Priest,,"darkvision 60 ft., ",Medium,30 ft.
105,18.0,11 (+0),30 (+10),12 (+1),465.0,18 (+4),20 (+5),fiend,15 (+2),chaotic evil,28.0,"blinded, charmed, exhaustion, frightened, grappled, incapacitated, paralyzed, petrified, prone, restrained, unconscious",poison,,"Abyssal, telepathy 120 ft.",Hulking Jester,"cold, fire, lightning; bludgeoning, piercing and slashing from nonmagical attacks","blindsight 60 ft., darkvision 120 ft., truesight 30 ft., ",Large,60 ft.
106,16.0,7 (-2),27 (+8),6 (-2),188.0,2 (-4),25 (+7),beast,9 (-1),"beast, unaligned",13.0,,,,—,Hukolgur,,,Huge,"20 ft., climb 20 ft."
107,20.0,18 (+4),18 (+4),16 (+3),378.0,18 (+4),20 (+5),fiend,18 (+4),chaotic evil,24.0,"blinded, charmed, deafened, frightened, poisoned","poison, bludgeoning, piercing and slashing from nonmagical weapons",,"Abyssal, Common, Orc",Iuz the Evil,,"Truesight 120 ft., ",Medium,"40 ft., fly 60 ft."
108,17.0,19 (+4),14 (+2),24 (+7),242.0,17 (+3),26 (+8),humanoid,20 (+5),lawful neutral,20.0,Frightened,Fire,,"Common, Elven","Isshin Ashina, the Sword Saint (Young)","Bludgeoning, Piercing and Slashing from nonmagical weapons, Force",,Medium,35ft
109,15.0,19 (+4),12 (+1),20 (+5),198.0,19 (+4),22 (+6),humanoid,25 (+7),lawful evil,16.0,"Charmed, Frightened",Fire,,"Common, Elven, Dwarvish",Isshin Ashina (Old),,,Medium,30ft
110,17.0,8 (-1),15 (+2),17 (+3),76.0,13 (+1),16 (+3),plant,13 (+1),lawful neutral,5.0,"charmed, frightened",,fire,Sylvan,Isles Wood Woad,"bludgeoning, piercing","darkvision 60 ft., ",Huge,"30 ft., climb 30 ft."
111,17.0,18 (+4),6 (-2),19 (+4),80.0,5 (-3),9 (-1),construct,10 (+0),"construct, neutral",6.0,"charmed, exhaustion, frightened, paralyzed, petrified, restrained, sleep, slow",,lightning,—,Ironclad Observer Unit,"fire, cold","tremorsense 60 ft., ",Medium,fly 50 ft.
112,18.0,5 (-3),20 (+5),10 (+0),199.0,8 (-1),22 (+6),fiend,10 (+0),chaotic evil,9.0,poisoned,"fire, poison",,Abyssal,Juggernaut of Khorne,"cold, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","darkvision 120 ft., ",Large,50 ft.
113,14.0,6 (-2),29 (+9),15 (+2),290.0,7 (-2),19 (+4),humanoid,11 (+0),still human,13.0,,,Fire,"— understands common and one other language, but cant speak it",Joy Mutant,"Piercing, Bludgeoning, and Slashing from Nonmagical Attacks",,Large,20ft
114,21.0,14 (+2),15 (+2),25 (+7),130.0,27 (+8),16 (+3),celestial,29 (+9),chaotic good,25.0,"charmed, frightened, poisoned","poison, radiant",necrotic,"Celestial, Common, Enochian",Joy,"cold, fire, lightning; damage from spells",,Medium,"30 ft., fly 45 ft."
115,14.0,10 (+0),11 (+0),16 (+3),21.0,8 (-1),8 (-1),humanoid,10 (+0),lawful evil,2.0,,,,"Common, Draconic",Kobold Skirmisher,,"darkvision 60 ft., ",Small,30 ft.
116,17.0,12 (+1),15 (+2),14 (+2),33.0,11 (+0),13 (+1),humanoid,11 (+0),lawful evil,2.0,,,,"Common, Draconic",Kobold Boss,The kobold has resistance to a damage type as indicated by its dragon scale mail.,"darkvision 60 ft., ",Small,30 ft.
